,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
58,Jamestown,90,AU,1562850337,81,-33.21,138.6,52.85,16.69
59,Quatre Cocos,20,MU,1562850339,57,-20.21,57.76,78.8,10.29
60,Farafangana,0,MG,1562850127,62,-22.82,47.83,75.35,5.35
61,Qaanaaq,94,GL,1562850342,48,77.48,-69.36,43.85,7.96
62,Wawa,100,NG,1562850341,90,9.9,4.41,74.63,2.13
63,Follonica,0,IT,1562850345,37,42.93,10.76,91.0,12.75
64,Port Alfred,0,ZA,1562850080,46,-33.59,26.89,77.0,19.84
65,Abong Mbang,86,CM,1562850348,76,3.98,13.18,77.33,4.68
66,Nikolskoye,75,RU,1562850349,47,59.7,30.79,55.99,4.47
67,Georgetown,75,GY,1562849958,100,6.8,-58.16,77.0,4.7
68,Kavieng,100,PG,1562850352,74,-2.57,150.8,83.45,12.91
69,Solvychegodsk,53,RU,1562850225,61,61.33,46.92,56.45,7.4
70,Visnes,75,NO,1562850357,82,59.36,5.22,66.99,8.05
71,Kalmunai,100,LK,1562850358,60,7.42,81.82,86.51,9.6
72,Saskylakh,100,RU,1562850360,81,71.97,114.09,56.27,3.69
73,Butaritari,100,KI,1562850361,71,3.07,172.79,85.07,5.95
74,Caravelas,73,BR,1562850363,78,-17.73,-39.27,71.93,0.83
75,Kodiak,1,US,1562850364,77,39.95,-94.76,70.0,8.05
76,Ribeira Grande,20,PT,1562850366,83,38.52,-28.7,73.4,8.05
77,Atambua,58,ID,1562850367,72,-9.11,124.89,77.87,12.03
78,Hithadhoo,89,MV,1562850369,70,-0.6,73.08,85.07,8.72
79,Ilulissat,90,GL,1562850370,93,69.22,-51.1,41.0,4.7
80,Mocuba,66,MZ,1562850371,55,-16.84,36.99,73.73,4.41
81,Mackay,90,CA,1562850373,100,53.65,-115.58,51.8,3.36
82,Cabo San Lucas,5,MX,1562850103,54,22.89,-109.91,80.6,3.36
83,Okhotsk,90,RU,1562850375,86,59.36,143.24,51.77,4.61
84,Bluff,5,AU,1562850377,44,-23.58,149.07,60.05,4.21
85,Sambava,98,MG,1562850378,59,-14.27,50.17,78.59,6.2
86,Moerai,73,PF,1562850380,92,-22.43,-151.33,73.37,11.25
87,Hermanus,2,ZA,1562850381,81,-34.42,19.24,63.0,8.99
88,Thunder Bay,20,CA,1562850382,67,48.41,-89.26,61.0,5.82
89,Surt,0,LY,1562850384,65,31.21,16.59,84.35,5.82
90,Liaocheng,69,CN,1562850385,37,36.44,115.96,83.45,2.08
91,Waipawa,34,NZ,1562850387,84,-39.94,176.59,48.99,5.01
92,Ostrovnoy,100,RU,1562850388,92,68.05,39.51,39.71,27.89
93,Katangli,100,RU,1562850389,90,51.71,143.23,53.21,3.11
94,Weatherford,1,US,1562850139,88,32.76,-97.8,77.0,6.93
95,Busselton,14,AU,1562850087,70,-33.64,115.35,52.0,11.18
96,Biltine,100,TD,1562850394,49,14.53,20.93,90.65,20.0
97,Mandurah,74,AU,1562850395,93,-32.55,115.7,55.99,8.01
98,Lebu,75,ET,1562850153,46,8.96,38.73,71.6,6.93
99,Yulara,100,AU,1562850398,20,-25.24,130.99,55.4,6.93
100,Pierre,1,US,1562850399,87,44.37,-100.35,69.01,5.82
101,Porto Nacional,0,BR,1562850401,37,-10.7,-48.41,82.4,6.93
102,Dikson,100,RU,1562850096,98,73.51,80.55,31.97,5.23
103,Baherden,0,TM,1562850403,27,38.44,57.43,88.13,10.04
104,East London,0,ZA,1562850146,44,-33.02,27.91,78.8,6.93
105,Emba,20,CY,1562850406,59,34.81,32.42,89.6,19.46
106,Chumikan,84,RU,1562850407,94,54.72,135.31,50.51,2.89
107,Boyabat,63,TR,1562850409,79,41.47,34.77,68.51,5.5
108,Iqaluit,75,CA,1562850410,76,63.75,-68.52,50.0,5.82
109,Tuktoyaktuk,62,CA,1562850412,87,69.44,-133.03,36.11,14.97
110,Hilo,75,US,1562850338,88,19.71,-155.08,78.01,4.7
111,Belmonte,0,PT,1562850414,25,40.36,-7.35,95.0,3.24
112,Kaitangata,0,NZ,1562850117,89,-46.28,169.85,46.99,3.0
113,Morro Bay,90,US,1562850417,93,35.37,-120.85,59.0,3.49
114,Mikhaylovka,5,RU,1562850418,72,52.96,103.29,70.85,15.35
115,Aleksandrovsk-Sakhalinskiy,100,RU,1562850420,90,50.9,142.16,53.93,12.71
116,Quijingue,65,BR,1562850421,65,-10.75,-39.21,74.45,9.26
117,Zhezkazgan,75,KZ,1562850423,12,47.8,67.71,96.8,6.71
118,Miles City,1,US,1562850424,82,46.41,-105.84,62.6,9.17
119,Dakar,40,SN,1562850426,65,14.69,-17.45,82.4,16.11
120,Crotone,0,IT,1562850428,47,39.09,17.12,80.6,6.93
121,Mimongo,74,GA,1562850429,50,-1.62,11.6,82.55,5.44
122,Am Timan,100,TD,1562850431,74,11.04,20.28,79.31,7.47
123,Fairbanks,75,US,1562850332,93,64.84,-147.72,63.0,2.15
124,Sola,7,TZ,1562850433,27,-3.17,33.8,87.05,11.48
125,Nova Venecia,72,BR,1562850433,66,-18.71,-40.4,69.23,2.57
126,Ntcheu,18,MW,1562850436,25,-14.82,34.64,70.13,6.8
127,Charters Towers,24,AU,1562850100,71,-20.07,146.27,64.19,9.22
128,Chino Valley,1,US,1562850416,36,34.76,-112.45,72.0,8.05
129,Nome,1,US,1562850440,94,30.04,-94.42,82.0,4.7
130,Provideniya,0,RU,1562850442,57,64.42,-173.23,63.47,1.88
131,Upernavik,100,GL,1562850443,78,72.79,-56.15,42.95,2.59
132,Vao,98,EE,1562850444,51,59.1,26.19,56.81,9.48
133,Esil,100,KZ,1562850446,24,51.96,66.41,89.93,6.69
134,Portland,75,US,1562850381,77,43.66,-70.25,70.0,4.7
135,Kalush,75,UA,1562850448,87,49.03,24.36,57.2,8.95
136,Daloa,92,CI,1562850450,64,6.88,-6.45,81.65,3.98
137,Thompson,90,CA,1562850429,93,55.74,-97.86,53.6,2.24
138,Katsuura,75,JP,1562850452,100,33.93,134.5,75.2,4.7
139,Pacific Grove,20,US,1562850454,82,36.62,-121.92,59.0,9.06
140,Yerbogachen,49,RU,1562850455,61,61.28,108.01,73.01,11.92
141,Staryy Nadym,100,RU,1562850457,74,65.61,72.68,73.19,9.15
142,Geraldton,40,CA,1562850258,87,49.72,-86.95,51.8,8.05
143,Luderitz,0,NA,1562850460,76,-26.65,15.16,57.2,10.29
144,Gisborne,48,NZ,1562850461,74,-38.66,178.02,48.0,1.99
145,Esperance,40,AU,1562850162,100,-33.86,121.89,51.8,8.05
146,Batemans Bay,0,AU,1562850464,74,-35.71,150.18,50.0,1.99
147,Carnarvon,0,ZA,1562850006,14,-30.97,22.13,68.51,20.42
148,Aksarka,98,RU,1562850467,62,66.56,67.8,71.57,6.85
149,Tiksi,13,RU,1562850468,53,71.64,128.87,55.55,3.53
150,Tazovskiy,100,RU,1562850469,89,67.47,78.7,51.05,19.44
151,Port-Gentil,75,GA,1562850471,78,-0.72,8.78,80.6,14.99
152,Taua,33,BR,1562850472,67,-3.62,-49.62,80.39,3.27
153,Marshall,1,US,1562850233,77,39.12,-93.2,73.99,3.36
154,Mar del Plata,0,AR,1562850473,86,-46.43,-67.52,36.29,12.75
155,Batagay-Alyta,35,RU,1562850476,55,67.8,130.41,64.19,7.09
156,Xining,100,CN,1562850415,97,36.62,101.77,46.19,2.13
157,Westport,75,US,1562850217,69,41.14,-73.36,81.0,5.82
158,Ondangwa,0,NA,1562850480,9,-17.91,15.98,86.0,5.82
159,Samarai,99,PG,1562850481,81,-10.62,150.67,69.95,9.06
160,Tasiilaq,40,GL,1562850483,70,65.61,-37.64,46.4,11.41
161,Camocim,18,BR,1562850484,57,-2.9,-40.84,83.45,10.13
162,Bonito,4,BR,1562850395,88,-1.36,-47.3,77.15,4.99
163,Gorontalo,100,ID,1562850487,94,0.54,123.06,72.83,5.48
164,Marsh Harbour,50,BS,1562850121,77,26.54,-77.06,83.45,8.43
165,San Quintin,79,PH,1562850490,85,17.54,120.52,77.69,1.99
166,Faanui,31,PF,1562850084,70,-16.48,-151.75,77.51,7.9
167,Port Hardy,90,CA,1562850492,100,50.7,-127.42,57.2,3.85
168,Rocha,83,UY,1562850494,83,-34.48,-54.34,53.03,2.44
169,Kenora,75,CA,1562850495,77,49.76,-94.48,62.6,3.36
170,Gazli,2,UZ,1562850496,7,40.13,63.45,109.01,16.17
171,Porbandar,40,IN,1562850498,75,21.64,69.61,89.6,11.41
172,Chokurdakh,95,RU,1562850499,87,70.62,147.9,63.83,3.89
173,Dwarka,75,IN,1562850500,42,28.58,77.04,100.4,8.05
174,Axim,71,GH,1562850502,82,4.87,-2.24,77.15,10.85
175,Itarema,46,BR,1562850503,76,-2.92,-39.92,76.61,9.57
176,Santa Isabel,1,MX,1562850504,14,32.63,-115.58,84.0,5.82
177,San Luis,99,AR,1562850506,64,-33.3,-66.34,54.47,3.8
178,Shymkent,0,KZ,1562850507,12,42.31,69.59,102.2,2.24
179,Port Macquarie,0,AU,1562850508,44,-31.43,152.91,60.01,8.05
180,Naze,100,NG,1562850510,82,5.43,7.07,78.77,5.28
181,Manta,0,RO,1562850511,47,45.1,24.1,71.03,8.01
182,Chanute,1,US,1562850271,94,37.68,-95.46,71.01,3.36
183,Truth or Consequences,1,US,1562850514,38,33.13,-107.25,75.99,5.82
184,Vostok,89,RU,1562850515,92,46.45,135.83,65.45,2.17
185,Mansa,40,IN,1562850517,47,23.43,72.66,98.6,10.29
186,Aklavik,90,CA,1562850518,81,68.22,-135.01,44.6,6.93
187,Facatativa,75,CO,1562850519,87,4.81,-74.35,53.6,5.82
188,Dunedin,11,NZ,1562850521,89,-45.87,170.5,48.99,10.0
189,Zaysan,0,KZ,1562850522,23,47.47,84.87,75.71,12.62
190,Muisne,75,EC,1562850524,100,0.61,-80.02,75.2,5.82
191,Pacifica,90,US,1562850525,100,37.61,-122.49,60.01,4.7
192,Jaora,78,IN,1562850405,57,23.64,75.13,86.33,21.34
193,Zhigansk,95,RU,1562850528,52,66.77,123.37,73.91,4.99
194,Sydney,0,AU,1562850347,54,-33.85,151.22,55.99,6.93
195,Rabo de Peixe,20,PT,1562850530,88,37.8,-25.58,69.8,11.41
196,Aswan,0,EG,1562850532,9,24.09,32.9,107.6,9.17
197,Fortuna,90,US,1562850340,100,40.6,-124.16,61.0,8.14
198,Algiers,1,US,1562850534,88,29.94,-90.04,84.99,4.7
199,Hambantota,20,LK,1562850536,84,6.12,81.12,86.0,11.41
200,Ozernovskiy,100,RU,1562850537,98,51.5,156.52,42.05,2.28
201,Quang Ngai,80,VN,1562850502,81,15.12,108.8,77.51,0.56
202,Belyy Yar,0,RU,1562850540,56,53.6,91.39,73.4,6.71
203,Kenai,90,US,1562850541,100,60.55,-151.26,55.99,3.36
204,Rantepao,37,ID,1562850542,98,-2.97,119.9,58.79,1.99
205,Brae,20,GB,1562850544,82,60.4,-1.35,59.0,19.46
206,Dhidhdhoo,100,MV,1562850545,66,6.88,73.1,84.35,3.47
207,Arraial do Cabo,0,BR,1562850122,64,-22.97,-42.02,71.6,4.7
208,Cordoba,18,AR,1562850477,57,-27.78,-67.24,47.09,1.03
209,Izhma,83,RU,1562850550,68,65.01,53.91,58.97,8.79
210,Shemysheyka,69,RU,1562850551,68,52.89,45.39,67.25,15.05
211,San Cristobal,95,HN,1562850552,97,14.68,-86.92,64.55,1.77
212,Maragogi,51,BR,1562850014,82,-9.01,-35.22,77.33,9.64
213,Fenoarivo Atsinanana,75,MG,1562850555,69,-17.38,49.41,77.0,6.93
214,Flinders,40,AU,1562850556,50,-34.58,150.85,59.0,19.46
215,Robe,21,ET,1562850558,60,7.12,40.01,61.85,7.67
216,Pevek,23,RU,1562850559,63,69.7,170.27,51.41,5.08
217,Coburg,75,DE,1562850560,45,50.26,10.96,73.0,11.41
218,Kontagora,95,NG,1562850562,65,10.4,5.47,81.29,7.38
219,Namatanai,100,PG,1562850563,82,-3.66,152.44,78.59,19.51
220,Esna,40,RO,1562850566,36,45.2,27.57,75.2,13.87
221,Gashua,75,NG,1562850567,39,12.87,11.04,93.35,18.32
222,Remiremont,0,FR,1562850569,68,48.02,6.59,69.8,5.82
223,Dutlwe,0,BW,1562850571,14,-23.98,23.93,77.51,5.93
224,Save,96,BJ,1562850572,70,8.04,2.49,82.73,3.56
225,Takoradi,52,GH,1562850574,70,4.89,-1.75,80.75,7.4
226,Gwadar,70,PK,1562850575,80,25.12,62.33,84.53,12.35
227,Lavrentiya,7,RU,1562850577,62,65.58,-170.99,54.65,5.03
228,Puerto del Rosario,40,ES,1562850308,45,28.5,-13.86,82.4,18.34
229,Stanisic,40,RS,1562850579,38,45.94,19.16,75.2,9.17
230,Valparaiso,1,US,1562850581,43,41.47,-87.06,78.01,5.82
231,Dolinsk,90,RU,1562850582,93,47.32,142.8,53.6,4.47
232,Butembo,83,CD,1562850584,87,0.12,29.29,71.75,3.09
233,Nara,75,JP,1562850313,100,34.68,135.8,73.0,19.46
234,Padilla,40,CO,1562850587,83,3.23,-76.31,69.8,3.36
235,Marawi,100,PH,1562850588,89,8.0,124.29,77.0,5.01
236,Owase,100,JP,1562850589,99,34.07,136.2,67.25,2.86
237,Nova Bystrice,99,CZ,1562850591,38,49.02,15.1,73.0,3.0
238,Coihaique,90,CL,1562850592,98,-45.58,-72.07,33.8,1.45
239,Husavik,36,CA,1562850594,65,50.56,-96.99,66.0,5.99
240,Kamuli,34,UG,1562850595,46,0.94,33.12,82.55,6.78
241,Shenzhen,40,CN,1562850409,79,22.54,114.05,86.0,3.36
242,Ghanzi,0,BW,1562850599,13,-21.7,21.65,78.23,6.73
243,Cabedelo,75,BR,1562850600,94,-6.97,-34.84,75.2,14.99
244,Necochea,100,AR,1562850602,97,-38.55,-58.74,45.0,2.59
245,Vangaindrano,0,MG,1562850603,68,-23.35,47.6,73.01,6.13
246,Hereford,40,GB,1562850604,64,52.06,-2.72,73.99,8.05
247,Novochernorechenskiy,0,RU,1562850606,44,56.27,91.08,70.67,4.7
248,Bowen,75,AU,1562850607,100,-20.01,148.25,64.99,3.36
249,Saint George,40,GR,1562850002,50,39.45,22.34,82.99,8.05
250,Nouakchott,0,MR,1562850460,54,18.08,-15.98,82.4,12.75
251,San Ramon de la Nueva Oran,41,AR,1562850611,72,-23.13,-64.33,59.51,0.85
252,Buala,100,SB,1562850612,84,-8.15,159.59,79.31,6.17
253,Oranjemund,0,ZA,1562850058,78,-28.55,16.43,57.53,16.55
254,Arman,0,RU,1562850615,79,59.7,150.17,59.15,0.92
255,Taksimo,19,RU,1562850617,64,56.36,114.84,68.51,1.45
256,Maiduguri,50,NG,1562850618,42,11.84,13.15,92.09,17.87
257,Olinda,40,AU,1562850619,66,-37.84,145.39,55.0,17.22
258,Abha,40,SA,1562850562,50,18.22,42.5,82.4,11.41
259,Mazara del Vallo,20,IT,1562850622,79,37.65,12.59,86.0,13.87
260,Aykhal,90,RU,1562850624,31,65.95,111.51,77.0,4.47
261,Hualmay,81,PE,1562850625,86,-11.1,-77.61,62.21,11.03
262,Cacador,61,BR,1562850627,75,-26.78,-51.02,54.65,1.21
263,Ampanihy,89,MG,1562850628,55,-24.69,44.75,72.47,8.43
264,High Level,1,CA,1562850629,87,58.52,-117.13,44.6,4.7
265,Alberton,0,ZA,1562850630,10,-26.25,28.13,78.8,2.24
266,Epe,75,DE,1562850632,82,52.18,7.04,77.0,6.93
267,Ilam,0,IR,1562850633,16,33.64,46.42,98.6,11.41
268,Salalah,90,OM,1562850635,79,17.01,54.1,84.2,14.99
269,Muscat,29,OM,1562850636,84,23.6,58.55,89.6,12.75
270,Ahipara,0,NZ,1562850637,82,-35.17,173.16,58.25,8.93
271,Sinjar,0,SY,1562850639,18,35.59,37.0,101.27,20.62
272,Lompoc,90,US,1562850463,100,34.64,-120.46,59.0,10.67
273,Fenoarivo,20,MG,1562850642,36,-18.93,47.44,77.0,4.7
274,Victoria Point,0,AU,1562850643,66,-27.58,153.3,57.2,6.93
275,kimparana,5,ML,1562850645,47,12.83,-4.92,89.21,5.91
276,Klaksvik,75,FO,1562850646,93,62.23,-6.59,53.6,11.41
277,North Myrtle Beach,90,US,1562850647,94,33.83,-78.68,84.99,3.83
278,Green River,1,US,1562850649,33,41.53,-109.47,59.0,3.94
279,Xinxiang,79,CN,1562850650,55,35.3,113.88,75.53,2.44
280,Phangnga,20,TH,1562850652,83,8.45,98.53,84.2,1.12
281,Namie,75,JP,1562850653,82,37.52,140.86,68.0,13.87
282,Dingle,47,PH,1562850654,86,11.0,122.67,76.97,1.41
283,Salinopolis,4,BR,1562850656,78,-0.61,-47.36,80.93,15.73
284,Piacabucu,24,BR,1562850657,86,-10.41,-36.43,76.25,12.24
285,Praia da Vitoria,20,PT,1562850658,78,38.73,-27.07,75.0,6.44
286,Cayenne,75,GF,1562850660,94,4.94,-52.33,77.0,5.46
287,Sikonge,20,TZ,1562850661,27,-5.63,32.75,86.0,11.41
288,Tazmalt,40,DZ,1562850663,69,36.39,4.4,82.4,9.17
289,Oum Hadjer,100,TD,1562850664,53,13.3,19.7,88.31,19.26
290,San Pedro de Macoris,20,DO,1562850666,83,18.46,-69.3,82.99,5.82
291,Tumbes,40,PE,1562850667,33,-3.57,-80.46,89.6,4.21
292,Santa Cruz,27,BR,1562850668,55,-6.22,-36.02,79.67,13.71
293,Jiazi,75,CN,1562850670,94,19.61,110.49,78.8,4.47
294,Saint-Philippe,90,CA,1562850671,94,45.36,-73.48,73.99,3.36
295,Diffa,72,NE,1562850673,31,13.32,12.61,97.85,18.72
296,Bereznik,97,RU,1562850674,72,62.86,42.71,50.33,5.68
297,Baikunthpur,100,IN,1562850675,77,23.26,82.56,80.03,6.44
298,Lala,100,PH,1562850677,93,7.97,123.75,74.63,1.57
299,Quipapa,73,BR,1562850678,82,-8.83,-36.01,70.31,10.54
300,Ambulu,57,ID,1562850680,84,-8.35,113.61,75.71,22.46
301,Mirnyy,100,RU,1562850681,74,56.57,36.46,59.15,10.74
302,Pisco,90,PE,1562850683,30,-13.71,-76.2,71.6,2.24
303,Sorland,75,NO,1562850684,76,67.67,12.69,57.2,8.05
304,Revda,100,RU,1562850686,74,67.94,34.55,43.31,13.85
305,Gaoua,13,BF,1562850687,53,10.33,-3.18,87.23,5.88
306,Kadnikov,100,RU,1562850688,67,59.5,40.34,51.23,5.99
307,College,75,US,1562850690,93,64.86,-147.8,66.2,2.15
308,Grenfell,55,AU,1562850691,79,-33.9,148.16,46.01,11.63
309,Arica,90,CL,1562850692,63,-18.48,-70.32,62.6,6.93
310,Candido de Abreu,55,BR,1562850694,86,-24.57,-51.33,55.55,2.35
311,Togul,37,RU,1562850695,66,53.47,85.91,72.65,8.12
312,Ketchikan,90,US,1562850697,100,55.34,-131.65,57.2,6.93
313,Queanbeyan,90,AU,1562850698,76,-35.35,149.23,50.0,16.11
314,Nelson Bay,0,AU,1562850700,50,-32.72,152.14,59.0,13.87
315,Borovskiy,40,RU,1562850701,57,57.04,65.72,81.0,11.18
316,Paamiut,100,GL,1562850703,91,61.99,-49.67,42.23,5.1
317,Moen,75,BE,1562850705,46,50.77,3.4,78.01,8.05
318,Poum,20,MK,1562850706,31,41.28,20.71,73.4,4.7
319,Ancud,90,CL,1562850708,100,-41.87,-73.83,44.6,9.17
320,Cherskiy,92,RU,1562850709,42,68.75,161.3,73.37,2.95
321,Grand-Lahou,71,CI,1562850710,71,5.24,-5.0,80.75,3.56
322,Jiamusi,88,CN,1562850712,81,46.81,130.37,65.45,1.86
323,Gushikawa,40,JP,1562850713,88,26.35,127.87,82.4,11.41
324,Jinhua,57,CN,1562850679,89,29.11,119.65,75.17,3.11
325,Bermeo,0,ES,1562850716,48,43.42,-2.72,84.2,9.17
326,Muros,0,ES,1562850500,61,42.77,-9.06,87.8,6.93
327,Bukoba,75,TZ,1562850719,57,-1.33,31.81,78.8,5.82
328,Bulungu,28,CD,1562850720,20,-4.54,18.6,100.37,2.59
329,Cardston,1,CA,1562850722,81,49.2,-113.32,64.4,8.05
330,Devonport,100,AU,1562850723,82,-41.18,146.36,50.0,3.0
331,Shakawe,0,BW,1562850724,10,-18.36,21.84,82.55,7.31
332,Dosso,100,NE,1562850483,38,13.05,3.19,93.89,10.0
333,Matara,64,BI,1562850727,62,-3.48,29.48,62.57,7.34
334,Porto Walter,0,BR,1562850728,84,-8.27,-72.74,71.03,0.83
335,Pangnirtung,75,CA,1562850730,63,66.15,-65.72,60.8,4.7
336,Egvekinot,0,RU,1562850731,35,66.32,-179.17,63.83,2.86
337,Mana,93,NG,1562850733,40,13.03,5.27,92.99,12.53
338,Semey,0,KZ,1562850734,32,50.41,80.25,80.6,17.9
339,La Palma,97,CO,1562850736,92,5.36,-74.39,67.25,2.42
340,Karwar,100,IN,1562850737,86,14.8,74.13,80.03,9.8
341,Tiarei,75,PF,1562850738,69,-17.53,-149.33,75.2,9.01
342,Talcahuano,75,CL,1562850740,93,-36.72,-73.12,48.2,4.7
343,Atagay,99,RU,1562850741,64,55.1,99.39,65.63,4.54
344,Mahon,75,IE,1562850743,88,51.89,-8.4,66.2,6.93
345,Alta Floresta,0,BR,1562850744,69,-9.87,-56.08,77.0,2.24
346,Fram,0,PY,1562850745,68,-27.1,-56.02,64.4,9.17
347,Murray Bridge,87,AU,1562850747,88,-35.12,139.28,55.99,14.0
348,Alofi,60,NU,1562850748,94,-19.06,-169.92,75.2,11.41
349,Colares,0,PT,1562850749,38,38.8,-9.45,96.01,8.05
350,Burnie,99,AU,1562850751,89,-41.05,145.91,46.99,7.0
351,Cukai,96,MY,1562850752,83,4.25,103.42,84.2,3.36
352,Gravdal,75,NO,1562850753,82,59.79,5.78,66.99,8.05
353,Vitim,72,RU,1562850755,42,59.44,112.57,76.07,4.41
354,Yongchang,100,CN,1562850756,34,38.06,102.59,74.45,7.23
355,Araceli,16,PH,1562850758,95,10.55,119.99,76.07,1.07
356,Beboto,100,TD,1562850759,97,8.27,16.94,70.85,4.47
357,Basco,1,US,1562850760,78,40.33,-91.2,73.99,8.05
358,Hobyo,33,SO,1562850762,52,5.35,48.53,87.95,29.17
359,Tautira,75,PF,1562850763,69,-17.73,-149.15,75.2,9.53
360,Douglas,90,US,1562850765,77,58.28,-134.39,62.6,12.75
361,Nantucket,90,US,1562850766,100,41.28,-70.1,75.0,8.05
362,Kurumkan,17,RU,1562850767,56,54.33,110.32,68.51,3.62
363,Kalyazin,97,RU,1562850769,74,57.24,37.84,55.37,6.42
364,Puerto Baquerizo Moreno,40,EC,1562850770,88,-0.9,-89.6,71.6,9.17
365,Pesaro,0,IT,1562850772,50,43.91,12.91,81.0,6.93
366,Hasaki,90,JP,1562850778,93,35.73,140.83,66.2,2.24
367,Shimoda,75,JP,1562850780,100,34.7,138.93,66.2,5.82
368,Novobirilyussy,18,RU,1562850781,47,56.95,90.69,70.31,5.17
369,Chakulia,75,IN,1562850783,56,22.48,86.72,93.2,6.93
370,Dulce Nombre de Culmi,100,HN,1562850784,98,15.08,-85.56,64.55,0.36
371,Dongsheng,6,CN,1562850786,71,29.72,112.52,78.23,4.61
372,Vardo,40,US,1562850787,78,39.62,-77.74,80.01,6.93
373,Kota Belud,75,MY,1562850788,83,6.35,116.43,78.8,6.93
374,Kidal,2,ML,1562850790,18,18.44,1.41,103.43,12.64
375,Kirovsk,100,RU,1562850791,70,67.62,33.66,44.75,13.09
